date,vegetable,season,month,Temp,disaster,condition,Price
2024-01-04,ginger,winter,jan,15,no,scrap,18.0
2024-01-05,potato,winter,jan,15,no,fresh,51.0
2024-01-05,tomato,winter,jan,15,no,fresh,67.0
2024-01-05,peas,winter,jan,15,yes,fresh,21.6
2024-01-05,pumkin,winter,jan,15,no,fresh,26.0
2024-01-05,cucumber,winter,jan,15,no,fresh,51.0
2024-01-05,pointed gourd,winter,jan,15,no,average,52.8
2024-01-05,raddish,winter,jan,15,no,scrap,6.0
2024-01-05,bitter gourd,winter,jan,15,no,fresh,81.0
2024-01-05,onion,winter,jan,15,no,fresh,18.0
2024-01-05,garlic,winter,jan,15,no,fresh,41.0
2024-01-05,cabbage,winter,jan,15,no,fresh,58.0
2024-01-05,cauliflower,winter,jan,15,no,fresh,41.0
2024-01-05,chilly,winter,jan,15,no,scrap,16.5
2024-01-05,okra,winter,jan,15,no,fresh,11.0
2024-01-05,brinjal,winter,jan,15,yes,fresh,91.2
2024-01-05,ginger,winter,jan,15,no,scrap,9.5
2024-01-06,potato,winter,jan,15,no,fresh,48.0
2024-01-06,tomato,winter,jan,15,no,fresh,97.0
2024-01-06,peas,winter,jan,15,yes,scrap,46.8
2024-01-06,pumkin,winter,jan,15,no,fresh,30.0
2024-01-06,cucumber,winter,jan,15,yes,scrap,55.2
2024-01-06,pointed gourd,winter,jan,15,yes,fresh,51.6
2024-01-06,raddish,winter,jan,15,no,average,60.0
2024-01-06,bitter gourd,winter,jan,15,yes,fresh,22.8
2024-01-06,onion,winter,jan,15,no,fresh,68.0
2024-01-06,garlic,winter,jan,15,no,fresh,46.0
2024-01-06,cabbage,winter,jan,15,no,average,27.2
2024-01-06,cauliflower,winter,jan,15,no,fresh,12.0
2024-01-06,chilly,winter,jan,15,no,fresh,20.0
2024-01-06,okra,winter,jan,15,yes,fresh,27.6
2024-01-06,brinjal,winter,jan,15,no,fresh,29.0
2024-01-06,ginger,winter,jan,15,no,fresh,94.0
2024-01-07,potato,winter,jan,15,no,scrap,28.5
2024-01-07,tomato,winter,jan,15,no,scrap,34.0
2024-01-07,peas,winter,jan,15,no,fresh,38.0
2024-01-07,pumkin,winter,jan,15,no,fresh,54.0
2024-01-07,cucumber,winter,jan,15,no,fresh,72.0
2024-01-07,pointed gourd,winter,jan,15,yes,average,28.8
2024-01-07,raddish,winter,jan,15,yes,fresh,103.2
2024-01-07,bitter gourd,winter,jan,15,no,fresh,44.0
2024-01-07,onion,winter,jan,15,no,fresh,51.0
2024-01-07,garlic,winter,jan,15,no,fresh,49.0
2024-01-07,cabbage,winter,jan,15,no,fresh,79.0
2024-01-07,cauliflower,winter,jan,15,no,scrap,48.0
2024-01-07,chilly,winter,jan,15,no,average,24.0
2024-01-07,okra,winter,jan,15,no,fresh,13.0
2024-01-07,brinjal,winter,jan,15,no,fresh,14.0
2024-01-07,ginger,winter,jan,15,no,fresh,43.0
2024-01-08,potato,winter,jan,15,no,average,49.6
2024-01-08,tomato,winter,jan,15,no,fresh,22.0
2024-01-08,peas,winter,jan,15,yes,fresh,80.4
2024-01-08,pumkin,winter,jan,15,no,fresh,36.0
2024-01-08,cucumber,winter,jan,15,no,fresh,43.0
2024-01-08,pointed gourd,winter,jan,15,no,scrap,28.0
2024-01-08,raddish,winter,jan,15,no,fresh,67.0
2024-01-08,bitter gourd,winter,jan,15,no,fresh,29.0
2024-01-08,onion,winter,jan,15,no,fresh,40.0
2024-01-08,garlic,winter,jan,15,no,fresh,60.0
2024-01-08,cabbage,winter,jan,15,no,average,44.8
2024-01-08,cauliflower,winter,jan,15,no,fresh,12.0
2024-01-08,chilly,winter,jan,15,no,fresh,94.0
2024-01-08,okra,winter,jan,15,no,fresh,86.0
2024-01-08,brinjal,winter,jan,15,no,scrap,47.5
2024-01-08,ginger,winter,jan,15,no,scrap,25.5
2024-01-09,potato,winter,jan,15,no,fresh,36.0
2024-01-09,tomato,winter,jan,15,no,average,38.4
2024-01-09,peas,winter,jan,15,no,scrap,23.5
2024-01-09,pumkin,winter,jan,15,no,fresh,17.0
2024-01-09,cucumber,winter,jan,15,no,fresh,14.0
2024-01-09,pointed gourd,winter,jan,15,no,scrap,6.5
2024-01-09,raddish,winter,jan,15,no,scrap,31.0
2024-01-09,bitter gourd,winter,jan,15,no,fresh,78.0
2024-01-09,onion,winter,jan,15,no,fresh,43.0
2024-01-09,garlic,winter,jan,15,no,average,71.2
2024-01-09,cabbage,winter,jan,15,no,fresh,78.0
2024-01-09,cauliflower,winter,jan,15,no,fresh,47.0
2024-01-09,chilly,winter,jan,15,no,average,50.4
2024-01-09,okra,winter,jan,15,no,average,29.6
2024-01-09,brinjal,winter,jan,15,no,fresh,94.0
2024-01-09,ginger,winter,jan,15,no,fresh,15.0
2024-01-10,potato,winter,jan,15,no,scrap,37.0
2024-01-10,tomato,winter,jan,15,no,average,40.0
2024-01-10,peas,winter,jan,15,no,average,39.2
2024-01-10,pumkin,winter,jan,15,no,fresh,60.0
2024-01-10,cucumber,winter,jan,15,yes,fresh,108.0
2024-01-10,pointed gourd,winter,jan,15,no,fresh,11.0
2024-01-10,raddish,winter,jan,15,yes,fresh,74.4
2024-01-10,bitter gourd,winter,jan,15,no,scrap,11.0
2024-01-10,onion,winter,jan,15,no,scrap,5.0
2024-01-10,garlic,winter,jan,15,no,fresh,61.0
2024-01-10,cabbage,winter,jan,15,yes,average,20.16
2024-01-10,cauliflower,winter,jan,15,no,scrap,33.0
2024-01-10,chilly,winter,jan,15,no,fresh,50.0
2024-01-10,okra,winter,jan,15,no,average,49.6
2024-01-10,brinjal,winter,jan,15,no,scrap,37.5
2024-01-10,ginger,winter,jan,15,no,fresh,42.0
2024-01-11,potato,winter,jan,15,no,fresh,69.0
2024-01-11,tomato,winter,jan,15,no,fresh,72.0
2024-01-11,peas,winter,jan,15,yes,average,72.0
2024-01-11,pumkin,winter,jan,15,no,average,78.4
2024-01-11,cucumber,winter,jan,15,no,fresh,67.0
2024-01-11,pointed gourd,winter,jan,15,no,fresh,46.0
2024-01-11,raddish,winter,jan,15,yes,fresh,56.4
2024-01-11,bitter gourd,winter,jan,15,no,fresh,54.0
2024-01-11,onion,winter,jan,15,no,scrap,23.5
2024-01-11,garlic,winter,jan,15,yes,fresh,43.2
2024-01-11,cabbage,winter,jan,15,no,fresh,60.0
2024-01-11,cauliflower,winter,jan,15,no,average,27.2
2024-01-11,chilly,winter,jan,15,no,fresh,49.0
2024-01-11,okra,winter,jan,15,no,fresh,55.0
2024-01-11,brinjal,winter,jan,15,no,fresh,28.0
2024-01-11,ginger,winter,jan,15,no,fresh,88.0
2024-01-12,potato,winter,jan,15,no,fresh,93.0
2024-01-12,tomato,winter,jan,15,no,fresh,52.0
2024-01-12,peas,winter,jan,15,yes,fresh,98.4
2024-01-12,pumkin,winter,jan,15,no,fresh,68.0
2024-01-12,cucumber,winter,jan,15,no,fresh,99.0
2024-01-12,pointed gourd,winter,jan,15,no,average,80.0
2024-01-12,raddish,winter,jan,15,yes,fresh,105.6
2024-01-12,bitter gourd,winter,jan,15,no,fresh,14.0
2024-01-12,onion,winter,jan,15,no,fresh,36.0
2024-01-12,garlic,winter,jan,15,no,fresh,48.0
2024-01-12,cabbage,winter,jan,15,no,fresh,17.0
2024-01-12,cauliflower,winter,jan,15,no,fresh,32.0
2024-01-12,chilly,winter,jan,15,no,fresh,51.0
2024-01-12,okra,winter,jan,15,no,fresh,81.0
2024-01-12,brinjal,winter,jan,15,no,fresh,76.0
2024-01-12,ginger,winter,jan,15,no,fresh,24.0
2024-01-13,potato,winter,jan,15,yes,fresh,55.2
2024-01-13,tomato,winter,jan,15,no,fresh,19.0
2024-01-13,peas,winter,jan,15,no,scrap,34.0
2024-01-13,pumkin,winter,jan,15,no,fresh,28.0
2024-01-13,cucumber,winter,jan,15,yes,fresh,105.6
2024-01-13,pointed gourd,winter,jan,15,no,fresh,96.0
2024-01-13,raddish,winter,jan,15,no,scrap,38.0
2024-01-13,bitter gourd,winter,jan,15,no,fresh,87.0
2024-01-13,onion,winter,jan,15,no,fresh,99.0
2024-01-13,garlic,winter,jan,15,no,fresh,60.0
2024-01-13,cabbage,winter,jan,15,no,scrap,20.5
2024-01-13,cauliflower,winter,jan,15,no,fresh,93.0
2024-01-13,chilly,winter,jan,15,no,fresh,42.0
2024-01-13,okra,winter,jan,15,no,fresh,87.0
2024-01-13,brinjal,winter,jan,15,no,average,15.2
2024-01-13,ginger,winter,jan,15,yes,scrap,46.2
2024-01-14,potato,winter,jan,15,yes,fresh,32.4
2024-01-14,tomato,winter,jan,15,no,fresh,30.0
2024-01-14,peas,winter,jan,15,no,fresh,40.0
2024-01-14,pumkin,winter,jan,15,no,fresh,19.0
2024-01-14,cucumber,winter,jan,15,no,average,8.0
2024-01-14,pointed gourd,winter,jan,15,yes,fresh,70.8
2024-01-14,raddish,winter,jan,15,no,fresh,81.0
2024-01-14,bitter gourd,winter,jan,15,no,fresh,97.0
2024-01-14,onion,winter,jan,15,no,fresh,79.0
2024-01-14,garlic,winter,jan,15,no,fresh,39.0
2024-01-14,cabbage,winter,jan,15,no,average,18.4
2024-01-14,cauliflower,winter,jan,15,no,fresh,26.0
2024-01-14,chilly,winter,jan,15,no,fresh,52.0
2024-01-14,okra,winter,jan,15,no,fresh,69.0
2024-01-14,brinjal,winter,jan,15,no,fresh,77.0
2024-01-14,ginger,winter,jan,15,no,fresh,29.0
2024-01-15,potato,winter,jan,15,no,fresh,99.0
2024-01-15,tomato,winter,jan,15,no,fresh,10.0
2024-01-15,peas,winter,jan,15,no,fresh,20.0
2024-01-15,pumkin,winter,jan,15,yes,scrap,22.8
2024-01-15,cucumber,winter,jan,15,yes,fresh,94.8
2024-01-15,pointed gourd,winter,jan,15,no,fresh,10.0
2024-01-15,raddish,winter,jan,15,no,fresh,73.0
2024-01-15,bitter gourd,winter,jan,15,no,fresh,40.0
2024-01-15,onion,winter,jan,15,no,fresh,71.0
2024-01-15,garlic,winter,jan,15,no,fresh,54.0
2024-01-15,cabbage,winter,jan,15,no,fresh,29.0
2024-01-15,cauliflower,winter,jan,15,no,fresh,99.0
2024-01-15,chilly,winter,jan,15,no,fresh,93.0
2024-01-15,okra,winter,jan,15,yes,fresh,105.6
2024-01-15,brinjal,winter,jan,15,no,scrap,39.5
2024-01-15,ginger,winter,jan,15,no,average,36.8
2024-01-16,potato,winter,jan,15,no,fresh,35.0
2024-01-16,tomato,winter,jan,15,no,average,36.0
2024-01-16,peas,winter,jan,15,no,fresh,87.0
2024-01-16,pumkin,winter,jan,15,no,fresh,81.0
2024-01-16,cucumber,winter,jan,15,no,fresh,92.0
2024-01-16,pointed gourd,winter,jan,15,no,fresh,100.0
2024-01-16,raddish,winter,jan,15,no,fresh,69.0
2024-01-16,bitter gourd,winter,jan,15,no,average,40.0
2024-01-16,onion,winter,jan,15,no,fresh,100.0
2024-01-16,garlic,winter,jan,15,no,average,28.8
2024-01-16,cabbage,winter,jan,15,no,fresh,69.0
2024-01-16,cauliflower,winter,jan,15,no,scrap,18.0
2024-01-16,chilly,winter,jan,15,no,fresh,93.0
2024-01-16,okra,winter,jan,15,no,fresh,56.0
2024-01-16,brinjal,winter,jan,15,no,fresh,11.0
2024-01-16,ginger,winter,jan,15,no,average,64.0
2024-01-17,potato,winter,jan,15,no,fresh,68.0
2024-01-17,tomato,winter,jan,15,no,fresh,23.0
2024-01-17,peas,winter,jan,15,yes,fresh,64.8
2024-01-17,pumkin,winter,jan,15,no,fresh,75.0
2024-01-17,cucumber,winter,jan,15,yes,fresh,79.2
2024-01-17,pointed gourd,winter,jan,15,no,fresh,41.0
2024-01-17,raddish,winter,jan,15,no,fresh,76.0
2024-01-17,bitter gourd,winter,jan,15,no,fresh,12.0
2024-01-17,onion,winter,jan,15,no,fresh,76.0
2024-01-17,garlic,winter,jan,15,no,fresh,13.0
2024-01-17,cabbage,winter,jan,15,yes,fresh,57.6
2024-01-17,cauliflower,winter,jan,15,yes,scrap,6.6
2024-01-17,chilly,winter,jan,15,no,fresh,27.0
2024-01-17,okra,winter,jan,15,yes,fresh,86.4
2024-01-17,brinjal,winter,jan,15,no,fresh,100.0
2024-01-17,ginger,winter,jan,15,no,fresh,63.0
2024-01-18,potato,winter,jan,15,no,fresh,23.0
2024-01-18,tomato,winter,jan,15,no,average,69.6
2024-01-18,peas,winter,jan,15,no,fresh,39.0
2024-01-18,pumkin,winter,jan,15,no,average,8.0
2024-01-18,cucumber,winter,jan,15,no,fresh,88.0
2024-01-18,pointed gourd,winter,jan,15,yes,fresh,117.6
2024-01-18,raddish,winter,jan,15,no,fresh,79.0
2024-01-18,bitter gourd,winter,jan,15,no,fresh,71.0
2024-01-18,onion,winter,jan,15,yes,average,16.32
2024-01-18,garlic,winter,jan,15,no,average,67.2
2024-01-18,cabbage,winter,jan,15,no,average,74.4
2024-01-18,cauliflower,winter,jan,15,no,fresh,54.0
2024-01-18,chilly,winter,jan,15,no,fresh,73.0
2024-01-18,okra,winter,jan,15,no,fresh,83.0
2024-01-18,brinjal,winter,jan,15,no,fresh,51.0
2024-01-18,ginger,winter,jan,15,no,average,64.0
2024-01-19,potato,winter,jan,15,no,average,57.6
2024-01-19,tomato,winter,jan,15,no,fresh,63.0
2024-01-19,peas,winter,jan,15,yes,scrap,37.8
2024-01-19,pumkin,winter,jan,15,no,fresh,44.0
2024-01-19,cucumber,winter,jan,15,no,average,44.0
2024-01-19,pointed gourd,winter,jan,15,no,fresh,18.0
2024-01-19,raddish,winter,jan,15,no,fresh,13.0
2024-01-19,bitter gourd,winter,jan,15,yes,fresh,111.6
2024-01-19,onion,winter,jan,15,no,average,58.4
2024-01-19,garlic,winter,jan,15,yes,fresh,19.2
2024-01-19,cabbage,winter,jan,15,no,fresh,66.0
2024-01-19,cauliflower,winter,jan,15,yes,fresh,63.6
2024-01-19,chilly,winter,jan,15,no,fresh,100.0
2024-01-19,okra,winter,jan,15,no,fresh,65.0
2024-01-19,brinjal,winter,jan,15,no,fresh,89.0
2024-01-19,ginger,winter,jan,15,no,average,54.4
2024-01-20,potato,winter,jan,15,no,fresh,50.0
2024-01-20,tomato,winter,jan,15,no,fresh,19.0
2024-01-20,peas,winter,jan,15,no,fresh,38.0
2024-01-20,pumkin,winter,jan,15,no,fresh,91.0
2024-01-20,cucumber,winter,jan,15,no,fresh,11.0
2024-01-20,pointed gourd,winter,jan,15,no,fresh,57.0
2024-01-20,raddish,winter,jan,15,no,fresh,58.0
2024-01-20,bitter gourd,winter,jan,15,no,fresh,61.0
2024-01-20,onion,winter,jan,15,yes,fresh,106.8
2024-01-20,garlic,winter,jan,15,yes,fresh,104.4
2024-01-20,cabbage,winter,jan,15,yes,fresh,111.6
2024-01-20,cauliflower,winter,jan,15,no,scrap,45.0
2024-01-20,chilly,winter,jan,15,yes,scrap,25.8
2024-01-20,okra,winter,jan,15,no,scrap,17.0
2024-01-20,brinjal,winter,jan,15,no,fresh,37.0
2024-01-20,ginger,winter,jan,15,yes,scrap,51.0
2024-01-21,potato,winter,jan,15,no,fresh,30.0
2024-01-21,tomato,winter,jan,15,no,fresh,83.0
2024-01-21,peas,winter,jan,15,no,fresh,74.0
2024-01-21,pumkin,winter,jan,15,no,average,68.8
2024-01-21,cucumber,winter,jan,15,no,fresh,79.0
2024-01-21,pointed gourd,winter,jan,15,no,average,79.2
2024-01-21,raddish,winter,jan,15,no,scrap,32.0
2024-01-21,bitter gourd,winter,jan,15,no,fresh,59.0
2024-01-21,onion,winter,jan,15,no,fresh,49.0
2024-01-21,garlic,winter,jan,15,no,fresh,49.0
2024-01-21,cabbage,winter,jan,15,yes,average,9.6
2024-01-21,cauliflower,winter,jan,15,no,average,11.2
2024-01-21,chilly,winter,jan,15,no,fresh,52.0
2024-01-21,okra,winter,jan,15,no,scrap,37.5
2024-01-21,brinjal,winter,jan,15,no,fresh,83.0
2024-01-21,ginger,winter,jan,15,yes,fresh,32.4
2024-01-22,potato,winter,jan,15,no,average,28.0
2024-01-22,tomato,winter,jan,15,no,fresh,61.0
2024-01-22,peas,winter,jan,15,no,fresh,49.0
2024-01-22,pumkin,winter,jan,15,no,average,76.8
2024-01-22,cucumber,winter,jan,15,no,fresh,84.0
2024-01-22,pointed gourd,winter,jan,15,no,average,19.2
2024-01-22,raddish,winter,jan,15,yes,fresh,36.0
2024-01-22,bitter gourd,winter,jan,15,yes,fresh,105.6
2024-01-22,onion,winter,jan,15,no,fresh,69.0
2024-01-22,garlic,winter,jan,15,no,fresh,100.0
2024-01-22,cabbage,winter,jan,15,no,scrap,47.5
2024-01-22,cauliflower,winter,jan,15,no,fresh,16.0
2024-01-22,chilly,winter,jan,15,no,fresh,17.0
2024-01-22,okra,winter,jan,15,no,fresh,100.0
2024-01-22,brinjal,winter,jan,15,no,fresh,89.0
2024-01-22,ginger,winter,jan,15,no,fresh,13.0
2024-01-23,potato,winter,jan,15,no,average,75.2
2024-01-23,tomato,winter,jan,15,no,fresh,44.0
2024-01-23,peas,winter,jan,15,no,average,43.2
2024-01-23,pumkin,winter,jan,15,no,fresh,44.0
2024-01-23,cucumber,winter,jan,15,no,fresh,19.0
2024-01-23,pointed gourd,winter,jan,15,no,average,56.8
2024-01-23,raddish,winter,jan,15,no,fresh,72.0
2024-01-23,bitter gourd,winter,jan,15,no,fresh,71.0
2024-01-23,onion,winter,jan,15,no,average,36.0
2024-01-23,garlic,winter,jan,15,no,average,75.2
2024-01-23,cabbage,winter,jan,15,no,fresh,90.0
2024-01-23,cauliflower,winter,jan,15,no,average,20.8
2024-01-23,chilly,winter,jan,15,yes,scrap,7.2
2024-01-23,okra,winter,jan,15,no,fresh,43.0
2024-01-23,brinjal,winter,jan,15,no,fresh,39.0
2024-01-23,ginger,winter,jan,15,no,scrap,23.5
2024-01-24,potato,winter,jan,15,no,fresh,10.0
2024-01-24,tomato,winter,jan,15,no,fresh,86.0
2024-01-24,peas,winter,jan,15,no,fresh,100.0
2024-01-24,pumkin,winter,jan,15,no,scrap,6.5
2024-01-24,cucumber,winter,jan,15,no,fresh,10.0
2024-01-24,pointed gourd,winter,jan,15,no,average,20.0
2024-01-24,raddish,winter,jan,15,no,fresh,49.0
2024-01-24,bitter gourd,winter,jan,15,yes,average,75.84
2024-01-24,onion,winter,jan,15,yes,fresh,105.6
2024-01-24,garlic,winter,jan,15,no,fresh,55.0
2024-01-24,cabbage,winter,jan,15,no,fresh,76.0
2024-01-24,cauliflower,winter,jan,15,no,fresh,51.0
2024-01-24,chilly,winter,jan,15,no,fresh,90.0
2024-01-24,okra,winter,jan,15,no,fresh,28.0
2024-01-24,brinjal,winter,jan,15,no,fresh,100.0
2024-01-24,ginger,winter,jan,15,no,fresh,20.0
2024-01-25,potato,winter,jan,15,no,scrap,44.0
2024-01-25,tomato,winter,jan,15,no,average,19.2
2024-01-25,peas,winter,jan,15,no,fresh,72.0
2024-01-25,pumkin,winter,jan,15,no,fresh,34.0
2024-01-25,cucumber,winter,jan,15,no,fresh,95.0
2024-01-25,pointed gourd,winter,jan,15,no,average,9.6
2024-01-25,raddish,winter,jan,15,no,scrap,35.5
2024-01-25,bitter gourd,winter,jan,15,no,fresh,94.0
2024-01-25,onion,winter,jan,15,no,average,73.6
2024-01-25,garlic,winter,jan,15,no,fresh,22.0
2024-01-25,cabbage,winter,jan,15,yes,average,12.48
2024-01-25,cauliflower,winter,jan,15,no,fresh,39.0
2024-01-25,chilly,winter,jan,15,no,average,12.0
2024-01-25,okra,winter,jan,15,yes,fresh,51.6
2024-01-25,brinjal,winter,jan,15,no,fresh,46.0
2024-01-25,ginger,winter,jan,15,no,fresh,90.0
2024-01-26,potato,winter,jan,15,no,fresh,61.0
2024-01-26,tomato,winter,jan,15,no,average,66.4
2024-01-26,peas,winter,jan,15,no,fresh,30.0
2024-01-26,pumkin,winter,jan,15,yes,fresh,109.2
2024-01-26,cucumber,winter,jan,15,no,fresh,90.0
2024-01-26,pointed gourd,winter,jan,15,no,fresh,15.0
2024-01-26,raddish,winter,jan,15,no,average,36.8
2024-01-26,bitter gourd,winter,jan,15,no,fresh,37.0
2024-01-26,onion,winter,jan,15,no,fresh,79.0
2024-01-26,garlic,winter,jan,15,no,fresh,73.0
2024-01-26,cabbage,winter,jan,15,no,fresh,99.0
2024-01-26,cauliflower,winter,jan,15,no,fresh,13.0
2024-01-26,chilly,winter,jan,15,no,fresh,70.0
2024-01-26,okra,winter,jan,15,yes,fresh,105.6
2024-01-26,brinjal,winter,jan,15,no,fresh,43.0
2024-01-26,ginger,winter,jan,15,no,scrap,39.5
2024-01-27,potato,winter,jan,15,no,fresh,77.0
2024-01-27,tomato,winter,jan,15,yes,fresh,92.4
2024-01-27,peas,winter,jan,15,yes,fresh,36.0
2024-01-27,pumkin,winter,jan,15,no,fresh,10.0
2024-01-27,cucumber,winter,jan,15,no,scrap,42.5
2024-01-27,pointed gourd,winter,jan,15,no,fresh,89.0
2024-01-27,raddish,winter,jan,15,no,fresh,40.0
2024-01-27,bitter gourd,winter,jan,15,no,fresh,82.0
2024-01-27,onion,winter,jan,15,no,fresh,39.0
2024-01-27,garlic,winter,jan,15,no,fresh,73.0
2024-01-27,cabbage,winter,jan,15,yes,fresh,104.4
2024-01-27,cauliflower,winter,jan,15,yes,scrap,8.4
2024-01-27,chilly,winter,jan,15,no,fresh,86.0
2024-01-27,okra,winter,jan,15,no,fresh,68.0
2024-01-27,brinjal,winter,jan,15,no,average,65.6
2024-01-27,ginger,winter,jan,15,no,fresh,64.0
2024-01-28,potato,winter,jan,15,no,fresh,52.0
2024-01-28,tomato,winter,jan,15,no,average,46.4
2024-01-28,peas,winter,jan,15,no,fresh,47.0
2024-01-28,pumkin,winter,jan,15,no,fresh,67.0
2024-01-28,cucumber,winter,jan,15,no,scrap,28.0
2024-01-28,pointed gourd,winter,jan,15,no,fresh,95.0
2024-01-28,raddish,winter,jan,15,no,average,45.6
2024-01-28,bitter gourd,winter,jan,15,no,average,32.0
2024-01-28,onion,winter,jan,15,no,fresh,49.0
2024-01-28,garlic,winter,jan,15,no,average,59.2
2024-01-28,cabbage,winter,jan,15,no,fresh,52.0
2024-01-28,cauliflower,winter,jan,15,no,fresh,17.0
2024-01-28,chilly,winter,jan,15,no,fresh,50.0
2024-01-28,okra,winter,jan,15,yes,fresh,108.0
2024-01-28,brinjal,winter,jan,15,no,average,10.4
2024-01-28,ginger,winter,jan,15,no,fresh,50.0
2024-01-29,potato,winter,jan,15,no,fresh,37.0
2024-01-29,tomato,winter,jan,15,no,average,45.6
2024-01-29,peas,winter,jan,15,no,scrap,20.5
2024-01-29,pumkin,winter,jan,15,no,fresh,97.0
2024-01-29,cucumber,winter,jan,15,no,average,40.8
2024-01-29,pointed gourd,winter,jan,15,no,fresh,41.0
2024-01-29,raddish,winter,jan,15,no,fresh,10.0
2024-01-29,bitter gourd,winter,jan,15,no,fresh,95.0
2024-01-29,onion,winter,jan,15,no,fresh,13.0
2024-01-29,garlic,winter,jan,15,no,fresh,73.0
2024-01-29,cabbage,winter,jan,15,no,fresh,52.0
2024-01-29,cauliflower,winter,jan,15,no,fresh,39.0
2024-01-29,chilly,winter,jan,15,no,fresh,30.0
2024-01-29,okra,winter,jan,15,no,fresh,62.0
2024-01-29,brinjal,winter,jan,15,no,scrap,9.5
2024-01-29,ginger,winter,jan,15,no,fresh,86.0
2024-01-30,potato,winter,jan,15,no,fresh,67.0
2024-01-30,tomato,winter,jan,15,no,fresh,52.0
2024-01-30,peas,winter,jan,15,no,fresh,54.0
2024-01-30,pumkin,winter,jan,15,no,fresh,19.0
2024-01-30,cucumber,winter,jan,15,yes,fresh,40.8
2024-01-30,pointed gourd,winter,jan,15,no,average,35.2
2024-01-30,raddish,winter,jan,15,no,fresh,60.0
2024-01-30,bitter gourd,winter,jan,15,no,fresh,42.0
2024-01-30,onion,winter,jan,15,no,fresh,29.0
2024-01-30,garlic,winter,jan,15,yes,fresh,46.8
2024-01-30,cabbage,winter,jan,15,no,fresh,67.0
2024-01-30,cauliflower,winter,jan,15,no,fresh,52.0
